a52dec 0.7.4-10
plasma-workspace 5.18.5-1
plasma-workspace-wallpapers 5.18.5-1
plasma5-applets-active-window-control 1.7.3-2
plasma5-applets-eventcalendar 66-1
plasma5-applets-netspeed 1.8-1
plasma5-applets-thermal-monitor 1.2.9-2
polkit 0.116-5
polkit-kde-agent 5.18.5-1
polkit-qt5 0.113.0-1
poppler 0.88.0-1
poppler-data 0.4.9-2
poppler-glib 0.88.0-1
poppler-qt5 0.88.0-1
popt 1.16-12
potrace 1.16-1
powerdevil 5.18.5-1
ppp 2.4.7-7
prison 5.69.0-1
procps-ng 3.3.16-1
protobuf 3.11.4-1
psmisc 23.3-2
pulseaudio 13.0-3
pulseaudio-alsa 2-5
pulseaudio-bluetooth 13.0-3
pulseaudio-qt 1.2-1
purpose 5.69.0-1
pycharm-professional 2020.1.1-1
pyenv 1.2.18-1
pygobject-devel 3.36.1-1
python 3.8.2-2
python-appdirs 1.4.3-5
python-beaker 1.11.0-3
python-cachecontrol 0.12.6-1
python-cairocffi 1.1.0-3
python-cairosvg 2.4.2-3
python-certifi 2019.11.28-1
python-cffi 1.14.0-2
python-chardet 3.0.4-4
python-colorama 0.4.3-1
python-contextlib2 0.6.0.post1-1
python-cssselect2 0.3.0-1
python-defusedxml 0.6.0-3
python-distlib 0.3.0-1
python-distro 1.5.0-1
python-filelock 3.0.12-3
python-gobject 3.36.1-1
python-html5lib 1.0.1-7
python-idna 2.9-1
python-lockfile 0.12.2-6
python-mako 1.1.2-1
python-markdown 3.1.1-4
python-markupsafe 1.1.1-3
python-msgpack 1.0.0-1
python-ordered-set 3.1.1-1
python-packaging 20.3-1
python-pep517 0.8.2-1
python-pew 1.2.0-4
python-pillow 6.2.1-1
python-pip 20.0.2-1
python-pipenv 2018.11.26-3
python-ply 3.11-4
python-progress 1.5-3
python-pycparser 2.20-1
python-pygments 2.6.1-2
python-pyparsing 2.4.7-1
python-pytoml 0.1.21-3
python-pywal 3.3.0-2
python-requests 2.23.0-1
python-retrying 1.3.3-6
python-setuptools 1:46.1.3-1
python-six 1.14.0-1
python-tinycss2 1.0.2-3
python-toml 0.10.0-3
python-urllib3 1.25.9-1
python-virtualenv 20.0.18-1
python-virtualenv-clone 0.5.4-1
python-webencodings 0.5.1-4
